

  1r          |                       |    |    |    |(I )(I )      |     
8750:  #       |                       |    |blt |    |(RD)(I )      |     
8751:  #       |                       |    |    |blt |(W )(I )      |     
8752:  #       |                       |    |    |    |(I )(I )      |     
8753:  #       |                       |    |    |    |(TC)(I )      |     
8754:  #       |                       |    |    |    |(RD)(I )      |     
8755:  00000750|                       |    |    |    |(W )(I )      |     
8756:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8757:  #       |                       |lw  |    |    |(TC)(I )      |     
8758:  #       |                       |    |#   |    |(RD)(TC)      |     
8759:  #       |                       |    |#   |    |(W )(RD)      |     
8760:  00000754|                       |    |lw  |    |(W )(W )      |     
8761:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8762:  #       |                       |lw  |    |    |(TC)(I )      |     
8763:  #       |                       |    |#   |    |(RD)(TC)      |     
8764:  #       |                       |    |#   |    |(W )(RD)      |     
8765:  00000758|                       |    |lw  |    |(W )(W )      |     
8766:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8767:  #       |                       |addi|    |    |(TC)(I )      |     
8768:  #       |                       |    |addi|    |(RD)(I )      |     
8769:  0000075c|                       |    |    |addi|(W )(I )      |     
8770:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8771:  #       |                       |addi|    |    |(TC)(I )      |     
8772:  #       |                       |    |addi|    |(RD)(I )      |     
8773:  00000760|                       |    |    |addi|(W )(I )      |     
8774:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8775:  #       |                       |addi|    |    |(TC)(I )      |     
8776:  #       |                       |    |addi|    |(RD)(I )      |     
8777:  00000764|                       |    |    |addi|(W )(I )      |     
8778:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8779:  /       |                       |beq |    |    |(TC)(I )      |     
8780:  #       |                       |    |beq |    |(RD)(I )      |     
8781:  #       |                       |    |    |beq |(W )(I )      |     
8782:  #       |                       |    |    |    |(I )(I )      |     
8783:  #       |                       |    |    |    |(TC)(I )      |     
8784:  #       |                       |    |    |    |(RD)(I )      |     
8785:  000007cc|                       |    |    |    |(W )(I )      |     
8786:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8787:  #       |                       |addi|    |    |(TC)(I )      |     
8788:  #       |                       |    |addi|    |(RD)(I )      |     
8789:  000007d0|                       |    |    |addi|(W )(I )      |     
8790:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8791:  #       |                       |addi|    |    |(TC)(I )      |     
8792:  #       |                       |    |addi|    |(RD)(I )      |     
8793:  000007d4|                       |    |    |addi|(W )(I )      |     
8794:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8795:  #       |                       |addi|    |    |(TC)(I )      |     
8796:  #       |                       |    |addi|    |(RD)(I )      |     
8797:  000007d8|                       |    |    |addi|(W )(I )      |     
8798:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8799:  /       |                       |blt |    |    |(TC)(I )      |     
8800:  #       |                       |    |blt |    |(RD)(I )      |     
8801:  #       |                       |    |    |blt |(W )(I )      |     
8802:  #       |                       |    |    |    |(I )(I )      |     
8803:  #       |                       |    |    |    |(TC)(I )      |     
8804:  #       |                       |    |    |    |(RD)(I )      |     
8805:  00000750|                       |    |    |    |(W )(I )      |     
8806:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8807:  #       |                       |lw  |    |    |(TC)(I )      |     
8808:  #       |                       |    |#   |    |(RD)(TC)      |     
8809:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8810:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8811:  #       |                       |    |#   |    |(W )(RU)      |     
8812:  #       |                       |    |#   |    |(W )(RD)      |     
8813:  00000754|                       |    |lw  |    |(W )(W )      |     
8814:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8815:  #       |                       |lw  |    |    |(TC)(I )      |     
8816:  #       |                       |    |#   |    |(RD)(TC)      |     
8817:  #       |                       |    |#   |    |(W )(RD)      |     
8818:  00000758|                       |    |lw  |    |(W )(W )      |     
8819:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8820:  #       |                       |addi|    |    |(TC)(I )      |     
8821:  #       |                       |    |addi|    |(RD)(I )      |     
8822:  0000075c|                       |    |    |addi|(W )(I )      |     
8823:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8824:  #       |                       |addi|    |    |(TC)(I )      |     
8825:  #       |                       |    |addi|    |(RD)(I )      |     
8826:  00000760|                       |    |    |addi|(W )(I )      |     
8827:  #       |addi   x10, x19, 0x804 |    |    |    |(I )(I )      |     
8828:  #       |                       |addi|    |    |(TC)(I )      |     
8829:  #       |                       |    |addi|    |(RD)(I )      |     
8830:  00000764|                       |    |    |addi|(W )(I )      |     
8831:  #       |beq    x13, x14, 0x0068|    |    |    |(I )(I )      |     
8832:  /       |                       |beq |    |    |(TC)(I )      |     
8833:  #       |                       |    |beq |    |(RD)(I )      |     
8834:  #       |                       |    |    |beq |(W )(I )      |     
8835:  #       |                       |    |    |    |(I )(I )      |     
8836:  #       |                       |    |    |    |(TC)(I )      |     
8837:  #       |                       |    |    |    |(RD)(I )      |     
8838:  000007cc|                       |    |    |    |(W )(I )      |     
8839:  #       |addi   x08, x08, 0x001 |    |    |    |(I )(I )      |     
8840:  #       |                       |addi|    |    |(TC)(I )      |     
8841:  #       |                       |    |addi|    |(RD)(I )      |     
8842:  000007d0|                       |    |    |addi|(W )(I )      |     
8843:  #       |addi   x18, x18, 0x004 |    |    |    |(I )(I )      |     
8844:  #       |                       |addi|    |    |(TC)(I )      |     
8845:  #       |                       |    |addi|    |(RD)(I )      |     
8846:  000007d4|                       |    |    |addi|(W )(I )      |     
8847:  #       |addi   x09, x09, 0x004 |    |    |    |(I )(I )      |     
8848:  #       |                       |addi|    |    |(TC)(I )      |     
8849:  #       |                       |    |addi|    |(RD)(I )      |     
8850:  000007d8|                       |    |    |addi|(W )(I )      |     
8851:  #       |blt    x08, x15, 0x1f78|    |    |    |(I )(I )      |     
8852:  /       |                       |blt |    |    |(TC)(I )      |     
8853:  #       |                       |    |blt |    |(RD)(I )      |     
8854:  #       |                       |    |    |blt |(W )(I )      |     
8855:  #       |                       |    |    |    |(I )(I )      |     
8856:  #       |                       |    |    |    |(TC)(I )      |     
8857:  #       |                       |    |    |    |(RD)(I )      |     
8858:  00000750|                       |    |    |    |(W )(I )      |     
8859:  #       |lw     x13, 0x000(x18) |    |    |    |(I )(I )      |     
8860:  #       |                       |lw  |    |    |(TC)(I )      |     
8861:  #       |                       |    |#   |    |(RD)(TC)      |     
8862:  #       |                       |    |#   |    |(W )(RD)      |     
8863:  00000754|                       |    |lw  |    |(W )(W )      |     
8864:  #       |lw     x14, 0x000(x09) |    |    |lw  |(I )(I )      |     
8865:  #       |                       |lw  |    |    |(TC)(I )      |     
8866:  #       |                       |    |#   |    |(RD)(TC)      |     
8867:  #       |                       |    |#   |    |(W )(RR)      |rd>  
8868:  #       |                       |    |#   |    |(W )(RW)      |  >rd
8869:  #       |                       |    |#   |    |(W )(RU)      |     
8870:  #       |                       |    |#   |    |(W )(RD)      |     
8871:  00000758|                       |    |lw  |    |(W )(W )      |     
8872:  #       |addi   x12, x08, 0x000 |    |    |lw  |(I )(I )      |     
8873:  #       |                       |addi|    |    |(TC)(I )      |     
8874:  #       |                       |    |addi|    |(RD)(I )      |     
8875:  0000075c|                       |    |    |addi|(W )(I )      |     
8876:  #       |addi   x11, x08, 0x000 |    |    |    |(I )(I )      |     
8877:  #       |                       |addi|    |    |(TC)(I )      |     
8878:  #       |                       |    |addi|    |(RD)(I )      |     
